AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,CRM,CRM,CRM,CRM,CRM,MRNA,MRNA,MRNA,MRNA,MRNA,MSFT,MSFT,MSFT,MSFT,MSFT,NIO,NIO,NIO,NIO,NIO,NNDM,NNDM,NNDM,NNDM,NNDM,NVDA,NVDA,NVDA,NVDA,NVDA,PFE,PFE,PFE,PFE,PFE,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
154.89,158.85,154.23,157.5225,27803621,1465.2,1553.36,1460.93,1536.73,7132821,133.4,136.83,133.05,135.29,4111694,14.93,15.3,14.51,15.29,2038570,99.55,101.75,98.94,101.01,26692255,6.13,6.24,6.0,6.205,8339198,1.12,1.24,1.08,1.23,133852,130.64,138.48,130.05,136.0,10849501,43.12,43.5,42.635,43.2399,18955059,306.5,315.13,298.8,309.8699,10751296
143.98,145.72,142.0,142.29,82418448,1520.01,1538.0,1498.1062,1502.07,6340704,133.48,134.78,130.3,130.46,5338393,15.49,16.08,15.2,15.51,1557024,100.0,100.185,97.4,97.5,34611003,6.1,6.1454,6.02,6.055,6316673,1.23,1.23,1.18,1.23,35404,133.79,135.16,127.6932,128.37,15496092,43.24,43.34,42.05,42.12,21019824,307.0,309.4,297.38,300.31,6672221
144.53,148.5499,143.8,148.12,51267225,1530.0,1594.0,1518.31,1574.54,8285596,133.5,139.32,132.22,137.85,5795726,16.0,17.5,15.8944,16.975,1630720,99.72,102.51,98.93,101.775,35976325,6.19,6.4,6.13,6.34,8818858,1.18,1.2921,1.18,1.26,45037,130.94,137.73,129.7,135.85,13378304,42.44,43.345,42.255,43.035,19239018,306.0,318.0,302.73,317.54,6983846
148.7,148.83,145.9,147.91,49982480,1602.31,1634.56,1589.185,1631.12,7252880,141.02,143.39,138.79,142.19,8369604,17.54,17.94,16.18,16.35,1548625,101.64,103.2681,100.98,102.15,28570376,6.41,6.585,6.31,6.5,9222915,1.29,1.29,1.2,1.2,60517,138.5,144.89,136.43,143.61,16318300,43.07,43.62,42.86,43.305,15177806,321.66,336.74,317.7508,334.986,7193888
149.56,151.82,148.52,150.63,36592406,1664.69,1676.61,1616.61,1655.835,8184304,144.73,146.46,142.8909,145.81,8010655,17.35,17.468,16.05,16.95,1809302,103.04,103.97,101.7134,102.73,25193769,6.57,6.58,6.165,6.399,9207141,1.21,1.24,1.2,1.21,47537,146.69,146.78,136.9,139.6,18128834,43.56,43.7,43.15,43.41,15293321,341.98,344.01,327.02,335.49,6567180
151.29,154.53,149.63,153.37,40827842,1652.98,1667.799,1641.3953,1657.59,5718583,146.89,147.5,144.53,145.95,4640468,17.2,17.25,16.15,16.27,1164248,103.86,104.88,103.2445,104.25,27578681,6.41,6.69,6.35,6.62,10606823,1.22,1.26,1.2,1.23,29547,141.9,144.49,139.86,142.59,14177005,43.46,43.67,43.2,43.315,13644946,335.5,343.5025,331.47,338.52,5199244
152.5,153.97,150.86,153.55,32553301,1643.07,1663.25,1621.615,1655.5,6024209,143.77,147.11,143.76,147.02,4317825,16.36,16.51,16.0,16.485,492197,103.22,103.66,102.38,103.57,23141246,6.63,6.73,6.41,6.665,9592003,1.25,1.27,1.1859,1.27,23470,141.8,145.58,139.36,145.3,12170896,43.22,43.23,42.03,42.27,33033539,334.4,345.39,331.79,344.91,5719942
152.88,153.7,151.51,152.0534,22850904,1640.55,1660.294,1636.22,1639.66,4171157,146.56,148.0345,145.61,147.2,4453642,16.6,17.06,16.53,16.96,569778,102.95,103.44,101.64,102.81,23708629,6.5,6.615,6.48,6.5816,6626062,1.27,1.27,1.22,1.23,15829,144.33,149.75,143.21,148.91,20422272,42.33,42.855,42.15,42.78,15852062,342.09,348.41,338.77,347.35,4796324
150.85,151.27,149.22,149.76,26038136,1615.0,1648.2,1595.15,1619.8767,5255053,145.75,146.73,144.7,145.87,3981601,17.0,17.06,16.72,16.74,608374,101.9,102.8716,101.26,102.12,19299980,6.51,7.15,6.37,6.77,19131104,1.3,1.33,1.22,1.2599,99064,146.72,151.46,145.77,150.745,17220809,42.55,42.63,42.195,42.36,11833428,342.5,342.5,334.0,334.7,5009149
150.27,153.39,150.05,152.95,25862287,1632.0,1672.97,1626.01,1672.75,5504935,146.35,149.86,145.8,149.0,4843790,17.0,17.0,16.41,16.61,459703,102.51,105.05,101.88,104.78,26725036,6.85,7.07,6.75,6.84,11449718,1.26,1.3,1.21,1.26,125803,151.76,153.35,149.13,149.5,14502817,42.6,43.24,42.43,42.665,21572363,335.0,348.8,334.5,344.345,5803044
153.08,155.88,153.0,154.91,27032885,1684.22,1705.0,1675.8787,1681.9703,5690955,149.15,149.79,147.8,148.5,3001302,16.8,16.95,16.26,16.28,215781,105.26,106.255,104.96,105.39,24069834,6.8,6.9,6.68,6.72,6453240,1.29,1.3104,1.24,1.27,31375,150.97,152.3,148.615,148.72,10705774,42.59,42.7921,42.04,42.045,24487224,344.78,352.0,343.5,345.89,4500918
154.2,157.66,153.26,155.53,26717099,1681.46,1700.17,1677.5,1691.37,3801991,148.54,150.72,147.685,149.88,3356036,16.05,16.53,16.05,16.3168,263872,105.0,106.625,104.76,106.1,22660985,6.7,6.875,6.53,6.82,8008502,1.28,1.3,1.24,1.27,69488,147.51,153.33,146.41,151.73,11476816,41.95,42.66,41.83,42.455,19505835,346.21,351.5,344.15,347.15,3488578
157.5,157.88,155.9806,156.57,30450605,1712.0,1716.2,1691.54,1693.2421,5590622,151.83,153.27,150.24,152.39,5060899,16.46,16.8,16.25,16.76,481831,107.46,107.9,105.92,107.6,34864877,6.89,6.91,6.68,6.7001,8977802,1.28,1.38,1.25,1.34,33052,153.73,157.98,151.65,156.91,15317697,42.86,42.88,42.26,42.44,28769779,323.06,327.1297,299.7301,302.22,22317439
