#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,6.700995,127.3,-1.4,(-1.09%)
2,Microsoft Corporation,MSFT,5.377634,218.75,-0.67,(-0.31%)
3,Amazon.com Inc.,AMZN,4.462667,"3,229.00",-7.08,(-0.22%)
4,Facebook Inc. Class A,FB,2.137493,276.9,2.42,-0.88%
5,Alphabet Inc. Class A,GOOGL,1.693837,"1,726.22",-14.29,(-0.82%)
6,Alphabet Inc. Class C,GOOG,1.662108,"1,732.55",-15.35,(-0.88%)
7,Berkshire Hathaway Inc. Class B,BRK.B,1.442523,223.43,-1.25,(-0.56%)
8,Johnson & Johnson,JNJ,1.310681,154.51,0.89,-0.58%
9,JPMorgan Chase & Co.,JPM,1.181275,119.08,-0.59,(-0.49%)
10,Visa Inc. Class A,V,1.153804,211.31,0.13,-0.06%
11,Procter & Gamble Company,PG,1.115386,139.04,0.79,-0.57%
12,NVIDIA Corporation,NVDA,1.066454,530.75,-2.9,(-0.54%)
13,UnitedHealth Group Incorporated,UNH,1.051716,338.38,-3.29,(-0.96%)
14,Walt Disney Company,DIS,1.015792,172.89,-0.66,(-0.38%)
15,Mastercard Incorporated Class A,MA,0.964387,340.33,3.43,-1.02%
16,Home Depot Inc.,HD,0.955707,270.45,-3.52,(-1.28%)
17,PayPal Holdings Inc,PYPL,0.895014,237.65,2.14,-0.91%
18,Verizon Communications Inc.,VZ,0.804319,60.46,0.45,-0.75%
19,Adobe Inc.,ADBE,0.769594,501.25,5.89,-1.19%
20,Netflix Inc.,NFLX,0.761592,533.9,1,-0.19%
21,Comcast Corporation Class A,CMCSA,0.758349,51.2,-0.16,(-0.31%)
22,Bank of America Corp,BAC,0.712635,28.67,-0.16,(-0.55%)
23,Intel Corporation,INTC,0.697294,47.32,-3.33,(-6.57%)
24,Pfizer Inc.,PFE,0.685136,37.68,-0.35,(-0.92%)
25,AT&T Inc.,T,0.6842,29.4,-0.22,(-0.74%)
26,Coca-Cola Company,KO,0.667649,53.74,0.47,-0.88%
27,salesforce.com inc.,CRM,0.6665,227.43,1.51,-0.67%
28,Walmart Inc.,WMT,0.657691,145.95,-0.15,(-0.10%)
29,Merck & Co. Inc.,MRK,0.654227,79.53,-0.29,(-0.36%)
30,PepsiCo Inc.,PEP,0.654092,146.93,1.22,-0.84%
31,Abbott Laboratories,ABT,0.624418,108.97,0.19,-0.17%
32,Cisco Systems Inc.,CSCO,0.615147,45.45,0.63,-1.41%
33,AbbVie Inc.,ABBV,0.60008,104.45,-0.44,(-0.42%)
34,Thermo Fisher Scientific Inc.,TMO,0.596223,466.68,1.74,-0.37%
35,Exxon Mobil Corporation,XOM,0.596033,42.73,-0.75,(-1.72%)
36,NIKE Inc. Class B,NKE,0.5658,137.28,-3.22,(-2.29%)
37,Broadcom Inc.,AVGO,0.554178,435.5,9.4,-2.21%
38,Chevron Corporation,CVX,0.551485,87.19,-1.22,(-1.38%)
39,Qualcomm Inc,QCOM,0.546957,147.35,-2.18,(-1.46%)
40,Accenture Plc Class A,ACN,0.545514,266.25,1.78,-0.67%
41,Costco Wholesale Corporation,COST,0.530075,367.99,-2.3,(-0.62%)
42,McDonald's Corporation,MCD,0.51687,215.08,0.83,-0.39%
43,Medtronic Plc,MDT,0.502431,116.71,1.37,-1.19%
44,Texas Instruments Incorporated,TXN,0.483101,164.5,1.81,-1.11%
45,Honeywell International Inc.,HON,0.482229,210.04,-1.9,(-0.90%)
46,NextEra Energy Inc.,NEE,0.476637,74.51,-0.55,(-0.73%)
47,Danaher Corporation,DHR,0.459308,226.11,1.62,-0.72%
48,Bristol-Myers Squibb Company,BMY,0.456995,63.12,0.58,-0.93%
49,Union Pacific Corporation,UNP,0.445011,203.6,1.4,-0.69%
50,Eli Lilly and Company,LLY,0.444314,171.4,-1.23,(-0.71%)
51,Amgen Inc.,AMGN,0.439092,228.3,-2.94,(-1.27%)
52,Linde plc,LIN,0.437073,257.67,1.04,-0.41%
53,Philip Morris International Inc.,PM,0.432533,86.09,0.42,-0.49%
54,Citigroup Inc.,C,0.405265,59.06,-0.99,(-1.65%)
55,Lowe's Companies Inc.,LOW,0.400649,163.2,-0.34,(-0.21%)
56,United Parcel Service Inc. Class B,UPS,0.399493,175.18,0.69,-0.40%
57,Oracle Corporation,ORCL,0.398694,65.06,1.45,-2.28%
58,Wells Fargo & Company,WFC,0.393644,29.01,-0.46,(-1.56%)
59,Starbucks Corporation,SBUX,0.391117,103.09,-0.12,(-0.12%)
60,Boeing Company,BA,0.380569,219.75,-1.49,(-0.67%)
61,Advanced Micro Devices Inc.,AMD,0.368601,95.75,-1.09,(-1.13%)
62,International Business Machines Corporation,IBM,0.362485,125.85,0.3,-0.24%
63,Raytheon Technologies Corporation,RTX,0.349874,70.17,-0.47,(-0.67%)
64,ServiceNow Inc.,NOW,0.343581,565.43,11.36,-2.05%
65,3M Company,MMM,0.329743,176.42,-0.23,(-0.13%)
66,BlackRock Inc.,BLK,0.324623,698.8,-7.21,(-1.02%)
67,Intuit Inc.,INTU,0.322505,382.1,1.78,-0.47%
68,American Tower Corporation,AMT,0.320237,221.52,-1.19,(-0.53%)
69,Charter Communications Inc. Class A,CHTR,0.317127,652,-1.98,(-0.30%)
70,Caterpillar Inc.,CAT,0.314409,180.96,1.79,-1.00%
71,General Electric Company,GE,0.3075,10.81,-0.07,(-0.64%)
72,Morgan Stanley,MS,0.299409,64.18,-0.49,(-0.76%)
73,Intuitive Surgical Inc.,ISRG,0.295736,789,9.22,-1.18%
74,CVS Health Corporation,CVS,0.295131,69.55,-0.04,(-0.06%)
75,Fidelity National Information Services Inc.,FIS,0.293248,145.22,-0.75,(-0.51%)
76,Lockheed Martin Corporation,LMT,0.281203,356.03,3.43,-0.97%
77,Booking Holdings Inc.,BKNG,0.280408,"2,099.65",-13.78,(-0.65%)
78,Target Corporation,TGT,0.277803,170.42,-0.82,(-0.48%)
79,Goldman Sachs Group Inc.,GS,0.272655,242.13,-2.3,(-0.94%)
80,Deere & Company,DE,0.268637,270.7,6.17,-2.33%
81,Mondelez International Inc. Class A,MDLZ,0.268256,58.34,0.41,-0.71%
82,TJX Companies Inc,TJX,0.262323,67.7,0.19,-0.28%
83,Micron Technology Inc.,MU,0.260246,71.25,-1.01,(-1.40%)
84,Applied Materials Inc.,AMAT,0.25907,86.3,-1.2,(-1.37%)
85,Altria Group Inc,MO,0.259047,43.78,0.78,-1.81%
86,Anthem Inc.,ANTM,0.256108,308.64,-5.44,(-1.73%)
87,Stryker Corporation,SYK,0.252271,240,1.9,-0.80%
88,American Express Company,AXP,0.251572,117.51,-1.47,(-1.24%)
89,S&P Global Inc.,SPGI,0.250822,322.5,1.44,-0.45%
