Date,AAPL,AMZN,CRM,MRNA,MSFT,NIO,NNDM,NVDA,PFE,TSLA
2019-01-02 ,157.5225,1536.73,135.29,15.29,101.01,6.205,1.23,136.0,43.2399,309.8699
2019-01-03 ,142.29,1502.07,130.46,15.51,97.5,6.055,1.23,128.37,42.12,300.31
2019-01-04 ,148.12,1574.54,137.85,16.975,101.775,6.34,1.26,135.85,43.035,317.54
2019-01-07 ,147.91,1631.12,142.19,16.35,102.15,6.5,1.2,143.61,43.305,334.986
2019-01-08 ,150.63,1655.835,145.81,16.95,102.73,6.399,1.21,139.6,43.41,335.49
2019-01-09 ,153.37,1657.59,145.95,16.27,104.25,6.62,1.23,142.59,43.315,338.52
2019-01-10 ,153.55,1655.5,147.02,16.485,103.57,6.665,1.27,145.3,42.27,344.91
2019-01-11 ,152.0534,1639.66,147.2,16.96,102.81,6.5816,1.23,148.91,42.78,347.35
2019-01-14 ,149.76,1619.8767,145.87,16.74,102.12,6.77,1.2599,150.745,42.36,334.7
2019-01-15 ,152.95,1672.75,149.0,16.61,104.78,6.84,1.26,149.5,42.665,344.345
2019-01-16 ,154.91,1681.9703,148.5,16.28,105.39,6.72,1.27,148.72,42.045,345.89
2019-01-17 ,155.53,1691.37,149.88,16.3168,106.1,6.82,1.27,151.73,42.455,347.15
2019-01-18 ,156.57,1693.2421,152.39,16.76,107.6,6.7001,1.34,156.91,42.44,302.22
2019-01-22 ,152.93,1628.398,148.47,15.5601,105.315,6.565,1.25,148.2887,42.12,298.18
2019-01-23 ,153.6799,1636.55,149.4,14.82,106.54,6.53,1.26,149.15,42.12,287.18
2019-01-24 ,152.63,1654.97,147.18,14.65,106.23,6.57,1.26,157.75,40.955,291.855
2019-01-25 ,157.5,1668.6,149.555,14.84,106.95,6.67,1.27,159.91,40.58,297.0
2019-01-28 ,156.0878,1636.185,147.155,14.46,105.015,6.67,1.28,137.88,39.5189,296.38
2019-01-29 ,154.5,1592.73,144.97,14.63,102.89,6.93,1.145,131.555,40.8,297.18
2019-01-30 ,165.49,1670.2312,149.12,15.12,106.28,7.43,1.06,137.16,41.52,308.705
2019-01-31 ,166.6249,1720.41,151.85,16.59,104.4575,7.87,0.97,143.64,42.535,307.0679
2019-02-01 ,166.62,1623.8,155.725,16.24,102.625,7.8501,0.8534,144.665,42.855,312.1801
2019-02-04 ,170.99,1630.5,157.38,16.26,105.62,7.84,0.908,149.01,42.37,312.465
2019-02-05 ,174.01,1656.87,158.77,17.21,107.11,7.87,0.8702,149.8,42.125,321.37
2019-02-06 ,174.1699,1639.42,157.99,18.16,106.06,8.3866,0.8151,152.89,42.325,317.77
2019-02-07 ,170.64,1611.6058,154.74,17.0673,105.19,7.995,0.799,147.19,41.655,307.5999
2019-02-08 ,170.04,1585.7397,156.45,17.95,105.42,7.655,0.8059,147.84,42.125,305.34
2019-02-11 ,169.43,1591.8,159.91,18.13,105.255,7.43,0.8211,146.2564,41.68,313.02
2019-02-12 ,170.7384,1637.89,162.78,18.6544,106.835,7.425,0.8299,150.97,41.78,311.99
2019-02-13 ,169.98,1640.3726,160.38,18.485,106.785,7.49,0.86,152.83,41.61,308.34
2019-02-14 ,170.98,1623.8774,159.5649,19.66,106.96,7.465,0.8382,154.41,42.01,303.98
2019-02-15 ,170.25,1607.5299,158.94,21.42,108.13,7.41,0.842,157.321,42.41,307.8181
2019-02-19 ,170.8499,1627.4731,160.57,20.82,108.13,7.24,0.8451,156.57,42.57,305.59
2019-02-20 ,172.09,1622.62,158.46,19.89,107.2,7.615,0.83,158.57,42.2111,302.53
2019-02-21 ,171.14,1619.9,159.67,19.38,109.44,7.63,0.825,155.81,42.15,291.24
2019-02-22 ,172.97,1631.19,161.28,19.87,110.965,8.175,0.8205,159.22,42.965,294.69
2019-02-25 ,174.26,1633.0,161.34,21.64,111.59,9.0,0.87,158.69,43.06,298.7
2019-02-26 ,174.35,1636.33,163.0,23.68,112.36,9.78,0.858,157.14,43.0,297.81
2019-02-27 ,174.88,1641.09,163.15,22.1,112.19,9.83,0.8499,155.4,42.93,314.795
2019-02-28 ,173.2,1639.79,163.64,22.53,112.05,9.55,0.84,154.29,43.33,319.81
2019-03-01 ,174.97,1671.26,164.5,22.31,112.52,10.05,0.84,156.44,43.37,294.66
2019-03-04 ,175.86,1696.16,158.6,21.16,112.28,9.82,0.83,156.8,43.09,285.3
2019-03-05 ,175.51,1691.81,156.9752,21.38,111.68,10.13,0.835,156.51,42.89,276.64
2019-03-06 ,174.51,1669.16,156.76,20.63,111.74,8.0,0.8313,152.04,41.87,276.23
2019-03-07 ,172.47,1626.28,155.54,20.58,110.38,7.0899,0.82,149.25,41.4,276.6
2019-03-08 ,172.92,1622.11,155.09,20.93,110.52,7.055,0.82,150.67,40.8899,284.13
2019-03-11 ,178.98,1670.32,157.61,20.4,112.83,6.59,0.8255,161.13,41.5,290.86
